"","Origin.ID","Destination.ID","Traffic.V"
"795",43,103,424
"796",189,119,422
"797",201,85,422
"798",139,19,421
"799",35,79,419
"800",163,83,415
"801",191,65,410
"802",153,87,409
"803",53,183,409
"804",57,187,409
"805",93,111,408
"806",111,93,406
"807",17,125,405
"808",77,81,401
"809",15,103,400
"810",175,11,400
"811",51,21,397
"812",77,163,397
"813",83,163,397
"814",113,123,396
"815",157,119,395
"816",69,151,395
"817",113,63,394
"818",197,167,393
"819",9,17,392
"820",141,197,391
"821",161,31,387
"822",119,189,386
"823",19,97,386
"824",73,99,386
"825",31,195,383
"826",49,159,382
"827",129,107,381
"828",199,163,381
"829",141,111,379
"830",31,161,378
"831",187,57,377
"832",135,163,376
"833",199,127,375
"834",167,197,374
"835",99,179,374
"836",81,49,373
"837",11,161,371
"838",99,195,371
"839",119,157,370
"840",151,69,369
"841",79,35,369
"842",159,33,368
"843",161,11,368
"844",167,1,367
"845",33,159,367
"846",177,31,366
"847",37,195,366
"848",191,159,362
"849",179,105,361
"850",163,77,359
"851",123,113,358
"852",31,179,357
"853",1,109,356
"854",199,121,354
"855",149,171,353
"856",49,119,353
"857",55,189,353
"858",159,191,350
"859",123,105,348
"860",163,199,348
"861",19,105,347
"862",17,9,345
"863",185,159,345
"864",171,149,344
"865",197,141,343
"866",105,123,338
"867",167,149,338
"868",55,163,338
"869",71,95,338
"870",195,177,337
"871",127,199,336
"872",143,161,336
"873",23,79,336
"874",81,193,332
"875",95,71,332
"876",81,119,330
"877",1,167,329
"878",13,61,329
"879",63,113,329
"880",119,113,328
"881",105,179,327
"882",195,31,327
"883",41,49,327
"884",79,23,324
"885",183,31,323
"886",143,187,322
"887",111,141,320
"888",121,199,318
"889",183,41,317
"890",103,177,312
"891",149,167,312
"892",7,177,312
"893",163,55,311
"894",167,171,311
"895",177,7,311
"896",187,143,311
"897",73,187,310
"898",173,167,307
"899",201,15,306
"900",49,31,306
"901",167,173,305
"902",31,49,305
"903",121,119,304
"904",99,161,302
"905",33,49,301
"906",61,167,301
"907",15,201,300
"908",161,99,300
"909",195,37,300
"910",11,31,299
"911",113,183,298
"912",167,61,298
"913",5,49,297
"914",73,179,296
"915",201,113,295
"916",119,13,294
"917",31,177,292
"918",25,51,291
"919",49,5,290
"920",113,119,289
"921",77,189,289
"922",159,185,288
"923",123,175,285
"924",177,103,284
"925",1,137,283
"926",115,179,283
"927",103,161,282
"928",119,121,282
"929",179,115,281
"930",139,49,279
"931",25,79,279
"932",31,11,279
"933",49,139,279
"934",71,131,279
"935",167,39,278
"936",11,197,277
"937",69,59,277
"938",105,19,276
"939",193,81,275
"940",43,105,275
"941",169,1,273
"942",59,69,273
"943",105,43,271
