,GEOID,ALAND
516,17031804712,2381498
517,17119402900,9973800
518,17031680600,326466
519,17031803010,2585560
520,17031804505,3088853
521,17031804606,5008946
522,17031807800,2547904
523,17031808400,3153675
524,17031811100,3648948
525,17197884103,11254211
526,17031030500,618133
527,17197880119,3921638
528,17197880702,9644405
529,17197880411,12020206
530,17197880421,12688767
531,17197884101,20880155
532,17197880901,8072096
533,17197881604,1093502
534,17197881112,15546596
535,17197883515,7940552
536,17109010900,10866108
537,17197883522,8371296
538,17197883514,12176120
539,17167000503,2157693
540,17167000501,4565616
541,17031820501,6654812
542,17031814700,863810
543,17031819100,2573890
544,17031828801,4306537
545,17031990000,0
546,17027900602,187729005
547,17027900402,160161009
548,17027900601,79889474
549,17027900401,208495094
550,17031020500,771656
551,17043846304,10849071
552,17097861611,4954894
553,17043846307,3248710
554,17043841114,6435619
555,17043841322,1963117
556,17031081300,202656
557,17031081000,298829
558,17031130100,1839633
559,17043841108,4483388
560,17043844202,1860574
561,17043845100,3754264
562,17043840000,11813298
563,17043840600,2413505
564,17097863400,5161475
565,17031170200,653046
566,17097863500,13119481
567,17097863603,5301700
568,17031170300,1398898
569,17031170400,769031
570,17031170500,1539539
571,17031170600,566548
572,17031170700,579654
573,17031170800,730332
574,17097863701,6503690
575,17031251400,688029
576,17031260300,329187
577,17031260500,337553
578,17031260600,318825
579,17031260700,329201
580,17031260800,328945
581,17031050700,164326
582,17031050900,162724
583,17031051000,166636
584,17031051100,162702
585,17031051200,164642
586,17019001301,4237094
587,17019001205,23891909
588,17161021400,1193008
589,17161021500,3316794
590,17097863601,20716311
591,17097863702,10170067
592,17109011100,321231228
593,17109010400,5343437
594,17109010100,93870050
595,17109010300,153305671
596,17109011000,547797777
597,17045070500,515788080
598,17045070200,606091677
599,17109010600,13345126
600,17109010700,13532777
601,17109010200,365383614
602,17109010500,1663808
603,17031390400,326306
604,17031381800,319368
605,17031381900,172690
606,17031390100,482752
607,17031390200,303791
608,17031390300,327051
609,17013951300,291422490
610,17013951200,365999932
611,17121952500,6990686
612,17171970700,332037114
613,17031390500,326518
614,17031390600,324629
615,17031390700,608424
616,17031804711,2092272
617,17031804806,1163257
618,17031804808,1531187
619,17031804809,2293139
620,17031812400,1389048
621,17031812500,963641
622,17031440600,666619
623,17031440900,742630
624,17031440700,327461
625,17031440800,279123
626,17031819300,1030112
627,17031819400,1650522
628,17031819500,1467549
629,17031630200,634189
630,17031630300,985487
631,17031630500,657659
632,17031630800,655815
633,17031630900,659762
634,17031640100,305457
635,17031640300,1324645
636,17031819600,1474314
637,17031827000,1457365
638,17031827100,1611704
639,17031827200,3926634
640,17031827300,1632053
641,17079977500,706210503
642,17079977300,569302713
643,17079977400,5530440
644,17031750100,1285527
645,17031750200,1311132
646,17031750300,661763
647,17031750400,995559
648,17031750500,2636170
649,17031804901,2860240
650,17031804902,2615987
651,17031805001,3097295
652,17031805002,1886336
653,17031819801,2186479
654,17031819802,1736377
655,17031819900,2090712
656,17031820000,1731364
657,17031827400,2848415
658,17031827600,2266185
659,17031282700,439297
660,17031282800,164404
661,17031400300,1385551
662,17031400500,326149
663,17031400800,493317
664,17031410100,220901
665,17031410500,263011
666,17031410600,252245
667,17031460100,2964056
668,17031805105,2931625
669,17031827700,1368523
670,17031827802,1835790
671,17031827804,1503996
672,17031450300,1366771
673,17031460200,600282
674,17031805106,1702294
675,17031805107,3177000
676,17031805108,1502410
677,17031640400,1334945
678,17031640500,661917
679,17031640600,659757
680,17031640700,657092
681,17031640800,326769
682,17031650100,673422
683,17031650200,991073
684,17043846305,4127417
